0,1,2,3
“Bikash Rana Ko Geet Yatra” concludes in capital,"July 15, 2022","Businessman Bikash Jung Bahadur Rana’s musical program “Bikash Rana Ko Geet Yatra” has concluded with grandeur at Yak & Yeti Hotel in Kathmandu on Wednesday.
Rana is a well-known person in the aviation sector of Nepal and a successful businessman.
The event was well attended by artists, media persons and senior personalities from various fields.
On the occasion, Rana sang six songs live and music videos of 11 songs were released by senior personalities of the society Gaurav Shamsher Rana, Upendra Mahato, Shankar Koirala, Shambhujit Baskota, Dr Bhagwan Koirala, Jiva Lamichhane and others.
At the program, singer Sushma Rana unveiled singer Rana’s YouTube channel “Bikash Rana Official”.
The songs and music performed by Rana will be available on the channel. Nepal’s successful businessman Bikash Rana is planning to dedicate himself to the field of music in the coming days.
Share :",https://ceotab.com/wp-content/uploads/2022/07/WhatsApp-Image-2022-07-15-at-10.58.35-AM-800x445.jpeg
Netflix plans real-life Squid Game reality TV show,"June 15, 2022","Netflix is recruiting participants for a reality TV show inspired by its most popular series of all time, Squid Game.
However, it will not be life or death that is at stake, as depicted in the South Korean dystopian drama.
Instead, 456 recruits from around the world will play games where “the worst fate is going home empty-handed” – missing out on a $4.56m (£3.8m) prize.
Netflix also confirmed that the popular series would be renewed for a second season earlier this week.
On Wednesday, the platform announced that its new 10-episode series – Squid Game: The Challenge – would offer the “largest cast and lump cash prize in reality TV show history”.
“As [players] compete through a series of games inspired by the original show – plus surprising new additions – their strategies, alliances, and character will be put to the test while competitors are eliminated around them,” it added.
Participants need to be at least 21 years old. They must speak English, and be available for up to 4 weeks in early 2023 for filming.
The 456 participants are a nod to the fictional series, which features the same number of players, with its main protagonist Seong Gi-hun also referred to as Player 456.
The South Korean thriller series tells the story of debt-ridden people competing for a huge cash prize in a deadly series of children’s games.
It holds the record as Netflix’s most-popular series of all time, and it was streamed by 111 million users in its first 28 days of its launch.
Director, writer and executive producer of Squid Game Hwang Dong-hyuk said in a statement on Monday: “It took 12 years to bring the first season of Squid Game to life last year. But it took 12 days for Squid Game to become the most popular Netflix series ever.”
Share :",https://ceotab.com/wp-content/uploads/2021/03/netflix-logo-800x445.png
Spider-Man: No Way Home becomes the first top pandemic-era film,"December 28, 2021","The latest installment of the Spider-Man franchise has become the first pandemic-era movie to make more than $1bn (£750m) at the global box office.
Spider-Man: No Way Home also took the title of the highest-grossing film of 2021, the first pandemic-era hit movie.
It beat out the Chinese-made Korean War epic The Battle of Lake Changjin, which has grossed more than $905m worldwide.
The last movie to gross more than $1bn was 2019’s Star Wars: The Rise of Skywalker, according to media data analytics firm Comscore.
No other Hollywood production has come near to reaching that box office milestone since the pandemic began two years ago.
Over the weekend, global box office takings for the latest Marvel Cinematic Universe film reached $1.05bn.
The co-production between Sony and Disney hit its milestone less than two weeks after its premiere even as the Omicron variant of Covid-19 has spread rapidly around the world, raising fresh concerns about indoor events.
The film has not been released in China, which is currently the world’s biggest cinema market.
Spider-Man: No Way Home sees Tom Holland return as the third iteration of Peter Parker alongside Zendaya’s MJ and Benedict Cumberbatch as the sorcerer Doctor Strange.
The franchise’s 2019 offering Spider-Man: Far From Home was the first Spider-Man film to break the $1bn mark at the box office and is currently the highest-grossing movie in the franchise with $1.132bn in global ticket sales, according to Comscore.
The latest film follows on from Far From Home, in which the villainous Mysterio unmasked Parker before dying.
The series is a collaboration between Disney’s Marvel Studios and Sony.
In 2015, Disney, Marvel Studios, and Sony agreed to share the film rights for Spider-Man, which led to a new iteration of the character being introduced and integrated into the Marvel Cinematic Universe.
Before No Way Home, MGM’s latest James Bond movie No Time to Die, which made $774m at the box office globally, was the highest-grossing Hollywood film of both 2021 and the pandemic.
Share :",https://ceotab.com/wp-content/uploads/2021/12/Spiderman-800x445.jpg
"Maki Kaji, “Godfather of Sudoku”, dies at 69","August 18, 2021","Maki Kaji, the Japanese man known as the “Godfather of Sudoku”, has died at the age of 69.
Kaji gave the number puzzle its name after publishing it in his magazine Nikoli in the 1980s.
Since then the popular game – involving placing the numbers 1 to 9 in each row, column and square of a 9 by 9 grid – has spread around the globe.
Tournaments take place across the world and it is estimated that millions play versions of the game each day.
On Monday Nikoli published a statement on its website saying Kaji had died at his home in Tokyo from bile duct cancer on 10 August 2021.
Kaji was born in the northern Japanese city of Sapporo in 1951.
After dropping out of Keio University, he set up the puzzle magazine Nikoli, which published its first edition in August 1980.
The origins of Sudoku are unclear. Some credit the 18th Century Swiss mathematician Euler as its creator, while others say it came to the Arab world from China via India in the 8th or 9th Century, according to the New York Times.
French newspapers published a number of early versions of the game in the late 19th Century, including one called “le carré magique diabolique”, or the evil magic square, published by La France newspaper in July 1895.
But US architect Howard Garns is often credited as the creator of the modern version of the puzzle in the 1970s, under the name Number Place. It was this game that Kaji spotted in 1984.
“It was a very interesting puzzle, fun to solve,” he said in a 2008 speech.
“But the name, Number Place, did not hit me. I wanted to create a Japanese name.”
Kaji landed on Suuji wa dokushin ni kagiru, meaning “Numbers should be single”.
Pushed by colleagues to come up with a catchier name as he rushed to get to a horse race, he said he came up with the name Sudoku “in about 25 seconds”.
The game became popular in Japan but only turned into a global phenomenon in 2004, after The Times of London published a puzzle.
Kaji did not trademark the game, and did not gain financially from its huge success. But he said the joy of the puzzle and of others enjoying the game was more important than any monetary reward.
“I get really moved when I see a new idea for a puzzle which has lots of potential,” he told the BBC in 2007.
“I get really excited about it. It is like finding treasure.”
Share :",https://ceotab.com/wp-content/uploads/2021/08/Maki-Kaji-800x445.jpg
TikTok tests disappearing video stories feature,"August 5, 2021","Video-sharing platform TikTok is trialing a new vanishing video stories feature similar to functions on Snapchat, Facebook and Instagram.
TikTok Stories will allow users to see content posted by accounts they follow for 24 hours before they are deleted.
It comes as WhatsApp rolls out a feature for users to post photos or videos that vanish after they are seen.
This week rival social media platform Twitter shut down its Fleets disappearing stories feature.
TikTok, which is owned by China’s ByteDance, told the BBC: “We’re always thinking about new ways to bring value to our community and enrich the TikTok experience.”
“Currently we’re experimenting with ways to give creators additional formats to bring their creative ideas to life for the TikTok community,” the spokesperson added.
The feature was highlighted by social media consultant Matt Navarra, who shared screenshots of TikTok Stories on Twitter.
TikTok is the latest major social media platform to experiment with the feature first made popular by Snapchat.
The news comes as Facebook-owned WhatsApp rolls out a function that allows its users to have photos or videos vanish after they are seen.
In the “view once” feature, an image is deleted after the recipient opens it for the first time and doesn’t save to a phone.
WhatsApp said the feature was aimed at “giving users even more control over their privacy”.
However, child protection advocates have expressed concerns that automatically vanishing messages could help cover up evidence of child sexual abuse.
On 3 August, Twitter discontinued its Fleets function which allowed users to post photos and videos that disappeared after 24 hours.
Fleets was first announced in March last year in response to the popularity of Snapchat and Instagram Stories.
In the eight months that Fleets was available, Twitter added a number of new features, including GIFs, stickers and different coloured text.
However, the feature did not become as widely used as the company had hoped.
Share :",https://ceotab.com/wp-content/uploads/2021/04/TikTok-Logo-800x445.png
Chinese-Canadian pop star detained on suspicion of rape,"August 1, 2021","Chinese-Canadian pop star Kris Wu has been detained by Beijing police on suspicion of rape, police announced Saturday, following an accusation the former member of the Korean boy band EXO lured young women into sexual relationships.
Wu, 30, earlier was accused by a teenager of having sex with her while she was drunk. Wu denied the accusation.
The teenager said seven other women contacted her to say Wu seduced them with promises of jobs and other opportunities. She said some were under 18 but gave no indication whether they were younger than China’s age of consent of 14.
Wu has been “criminally detained” on suspicion of rape “in response to relevant information reported on the internet” including that he “repeatedly lured young women to have sexual relations,” the police statement said. It gave no other details.
The pop star had previously denied the accusations. “There was no ‘groupie sex’! There was no ‘underage’!” Wu wrote last month on his social media account. “If there were this kind of thing, please everyone relax, I would put myself in jail!”
The news was trending as the no. 1 most searched topic on Weibo on Saturday night, and some users online started commenting on Wu’s social media account, telling him to “Get out of China!”
Wu is a Canadian citizen, according to the police statement.
The official paper of the Communist Party, the People’s Daily, weighed in on the case, saying in a short opinion post online that “Having a foreign nationality is not a protective talisman, and no matter how big the name is, there is no immunity.”
The teenager publicized her accusations on social media and later in an interview with the internet portal NetEase. A day after that interview appeared, at least 10 brands including Porsche and Louis Vuitton broke off endorsement and other deals with Wu.
According to the interview, she thought she was meeting Wu for a career opportunity. Instead, his staff who was present forced her to drink. As someone who did not go to bars, she said her tolerance was low and she was drunk after two drinks. The next day, she woke up in Wu’s bed. That morning, he was kind to her and promised to take care of her, she said.
The teenager said that was the beginning of what she had thought was their relationship. This was the case until March, when he stopped returning her messages.
At first, she said she felt sorry for herself. But after she learned that there were other women who had been treated similarly, she said she felt there were others who were worse off.
“I don’t believe this is just my own personal matter. You can even say that this is a problem with the atmosphere in China’s entertainment circle,” she said in the NetEase interview.
Wu said that he had met the young woman on Dec. 5, 2020, but “I didn’t force her to drink,” and “there was not this sort of ‘details’ she describes.”
“I didn’t expect my silence to encourage these rumors, and I couldn’t stand it!” Wu previously wrote. “There were a lot of people there that day who can bear witness.”
Share :",https://ceotab.com/wp-content/uploads/2021/08/Kris-Wu-800x445.jpeg
Bearded bassist Dusty Hill dies in his sleep at 72,"July 29, 2021","ZZ Top’s Dusty Hill, the long-bearded bassist for the million-selling Texas blues-rock trio known for such hits as “Legs” and “Gimme All Your Lovin’,” has died at age 72.
In a Facebook post-Wednesday, guitarist Billy Gibbons and drummer Frank Beard said Hill died in his sleep. They didn’t give a cause of death, but a July 21 post on the band’s website said Hill was “on a short detour back to Texas, to address a hip issue.” At that time, the band said that its longtime guitar tech, Elwood Francis, would fill in on bass, slide guitar and harmonica.
Born Joe Michael Hill in Dallas, he, Gibbons and Beard formed ZZ Top in Houston in 1969, naming themselves in part after blues singer Z.Z. Hill and influenced by the British power trio Cream. Their debut release, “ZZ Top’s First Album,” came out in 1970. Three years later, they broke through commercially with “La Grange,” a funky blues song in the style of Slim Harpo’s ”Shake Your Hips” that paid tribute to the Chicken Ranch, a notorious brothel outside of the Texas town of La Grange.
The band went on to have such hits as “Tush” in 1975, and the 1980s songs “Sharp Dressed Man,” ”Legs,” “Gimme All Your Lovin’” and “Sleeping Bag.” The band’s 1976 “Worldwide Texas Tour,” with its iconic Texas-shaped stage festooned with cactuses, snakes and longhorn cattle, was one of the decade’s most successful rock tours. Their million-selling albums included ”Eliminator,” “Afterburner” and “Antenna.”
ZZ Top was inducted into the Rock and Roll Hall of Fame in 2004, introduced by Rolling Stones guitarist Keith Richards.
“These cats are steeped in the blues, so am I,” Richards said. “These cats know their blues and they know how to dress it up. When I first saw them, I thought, ‘I hope these guys are not on the run, because that disguise is not going to work.’”
That look, with all three members wearing dark sunglasses and Gibbons and Hill sporting long, wispy beards, became so familiar, in part thanks to their MTV videos in the 1980s, that it was the subject of a New Yorker cartoon and a joke on “The Simpsons.”
Share :",https://ceotab.com/wp-content/uploads/2021/07/Dusty-Hill-800x445.jpeg
Bayreuth opera festival returns after a one-year break,"July 26, 2021","The annual Bayreuth opera festival has returned after a one-year break forced by the coronavirus pandemic, with a woman conducting for the first time in the 145-year history of the event.
Oksana Lyniv won enthusiastic applause after conducting Richard Wagner’s “Flying Dutchman” at Bayreuth’s Festspielhaus on Sunday, news agency dpa reported.
Lyniv, a 43-year-old native of Ukraine, is the former principal conductor of Austria’s Graz Opera and a former assistant to current Berlin Philharmonic chief conductor Kirill Petrenko at the Bavarian State Opera.
The opening performance of Bayreuth opera festival was attended by German Chancellor Angela Merkel and her husband, who have been regular guests at the annual celebration of Wagner’s work over the years. Asked at a reception later Sunday about the first woman conducting, Merkel replied: “Finally!”
Festival director Katharina Wagner said that there weren’t that many female conductors in the past, and that it takes courage to learn to conduct. A generation has now grown up “that is courageous enough,” she said.
Although coronavirus infection rates are currently low in Germany, the festival is going ahead with restrictions. This year, 911 attendees per performance are allowed, compared with nearly 2,000 in a normal year. Only people who are vaccinated, have recovered from the virus or have a negative test are allowed in.
The festival continues until Aug. 25.
Share :",https://ceotab.com/wp-content/uploads/2021/07/Bayreuth-Festival-800x445.jpeg
"Jackie Mason, a rabbi-turned-comedian, dies at 93","July 26, 2021","Jackie Mason, a rabbi-turned-comedian whose feisty brand of standup comedy led him to Catskills nightclubs, West Coast talk shows and Broadway stages, has died. He was 93.
Mason died Saturday at 6 p.m. ET at Mt. Sinai Hospital in Manhattan after being hospitalized for over two weeks, the celebrity lawyer Raoul Felder told The Associated Press.
The irascible Mason was known for his sharp wit and piercing social commentary, often about being Jewish, men and women and his own inadequacies. His typical style was amused outrage.
“Eighty percent of married men cheat in America. The rest cheat in Europe,” he once joked. Another Mason line was: “Politics doesn’t make strange bedfellows, marriage does.” About himself, he once said: “I was so self-conscious, every time football players went into a huddle; I thought they were talking about me.”
His death was mourned far and wide, from fellow comedian Gilbert Gottfried, who called him “one of the best,” to Fox News Channel personality Sean Hannity, who hailed Mason as “irreverent, iconoclastic, funny, smart and a great American patriot.” Henry Winkler tweeted: “Now you get to make heaven laugh.”
Mason was born Jacob Maza, the son of a rabbi. His three brothers became rabbis. So did Mason, who at one time had congregations in Pennsylvania and North Carolina. Comedy eventually proved to be a more persistent calling than God.
“A person has to feel emotionally barren or empty or frustrated in order to become a comedian,” he told The Associated Press in 1987. “I don’t think people who feel comfortable or happy are motivated to become comedians. You’re searching for something and you’re willing to pay a high price to get that attention.”
Mason started in show business as a social director at a resort in the Catskills. He was the guy who got everybody up to play Simon Says, quiz games or shuffleboard. He told jokes, too. After one season, he was playing clubs throughout the Catskills for better money.
“Nobody else knew me, but in the mountains, I was a hit,” Mason recalled.
In 1961, the pint-sized comic got a big break, an appearance on Steve Allen’s weekly television variety show. His success brought him to “The Ed Sullivan Show” and other programs.
He was banned for two years from the “Sullivan” show when he allegedly gave the host the finger when Sullivan signaled to him to wrap up his act during an appearance on Oct. 18, 1964.
Mason’s act even carried him to Broadway, where he put on several one-man shows, including “Freshly Squeezed” in 2005, “Love Thy Neighbor” in 1996 and “The World According to Me” in 1988, for which he received a special Tony Award.
“I feel like Ronald Reagan tonight,” Mason joked on Tony night. “He was an actor all his life, knew nothing about politics and became president of the United States. I’m an ex-rabbi who knew nothing about acting and I’m getting a Tony Award.”
Share :",https://ceotab.com/wp-content/uploads/2021/07/Jackie-Mason-800x445.jpeg
Giant screen topples before Rolling Loud music festival,"July 23, 2021","A giant video screen collapsed Thursday at a South Florida stadium, a day before the Rolling Loud hip-hop music festival was set to begin. There were no injuries.
Organizers posted on Twitter that the giant screen toppled over onto one of the festival’s stages at Hard Rock Stadium in Miami Gardens, but it was expected to be repaired before doors opened Friday.
“Nobody was hurt and it will be fixed before doors open tomorrow. The show goes on!” the tweet said.
Helicopter news footage shows a large pile of downed scaffolding and other equipment next to one of the stages.
Like many other events, Rolling Loud was canceled last year because of the coronavirus pandemic. Originally set for May 2020, the event was rescheduled several times. This weekend’s lineup includes A$AP Rocky, Travis Scott and Post Malone.
Share :",https://ceotab.com/wp-content/uploads/2021/07/Screen-collapsed-800x445.jpeg
